Power,1W,3W,5W,3I,4I,5I,6I,7I,8I,9I,PW,SW,LW,P
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,,,0.000685133,,0.000432232,0.000951214,0.001450991,0.002724889,0.003512837,,0.006519277,0.015834563,0.032612098,
0.02,0.009421149,0.005253201,0.00417258,0.003201907,0.002465292,0.002302249,0.00160271,0.000624551,0.000335949,0.003038436,0.0038382,0.012822419,0.029456414,0.001615327
0.03,0.02096191,0.01242081,0.009823742,0.008756125,0.006767863,0.005313992,,0.003676267,0.002106721,0.000229366,0.001622534,0.009673441,0.02625713,0.001211608
0.04,0.037825228,0.023568699,0.018929936,0.015799922,0.012097128,0.009556755,0.007842863,,0.005949078,0.004038315,0.00247073,0.004296676,0.022244179,0.002265151
0.05,0.057021238,0.037331593,0.030818221,0.026371133,0.021038254,0.015760313,0.013042135,0.011060399,,0.007675847,0.006114845,0.001100823,0.016583808,0.003551127
0.06,0.078714046,0.053392502,0.044055211,0.035882296,0.030154357,0.024584531,0.020237297,,,,0.010158181,0.00377275,0.013192348,0.005009924
0.07,0.102247171,0.071239868,0.059459761,0.051161088,0.042819087,0.033178092,0.027506485,0.02279651,,0.016721472,,0.009138162,0.00876325,0.006046608
0.08,0.125482613,0.090254117,0.076627774,0.063390553,0.055460183,0.044395667,0.037785416,0.031219669,0.027234702,0.022042335,0.01903025,0.014261856,0.001532393,0.008518566
0.09,0.149372653,0.108521882,0.094761559,0.078222229,0.070587348,0.057544273,0.04720697,0.041485686,0.033435582,0.028878956,,0.019091275,0.002966319,0.009955691
0.09999999,0.174097772,0.129308942,0.112647433,0.095991484,0.084638674,0.069460532,0.058547411,0.050201531,0.041682005,0.034510947,0.029960191,0.025268287,0.011308009,0.012814211
0.11,0.197231724,0.15006432,0.132271618,0.112122311,0.099308616,0.08420455,0.072415582,0.062513685,0.05080814,0.04407827,0.037745324,,0.017203985,0.020234827
0.12,0.219930318,0.169198054,0.152078648,0.129131317,0.116954785,0.098840377,0.084279916,0.073527578,0.060546123,0.051044349,0.044658332,,0.024035636,0.021919505
0.13,0.241975515,0.190401337,0.171031706,0.152662227,0.13402144,0.113733212,0.096972945,0.085512121,0.072163566,0.061086818,0.053648288,,0.030465806,0.027310228
